url,sentiment_polarity,abs Polarity,Clean tweet,sentiment_subjectivity,tweet,L
0,-0.29,0.2875,i hate when people ask if i would get married again of course i would just because i got divorced it doesnt mean i lost all hope,0.61,"i hate when people ask if i would get married again. 
of course i would. just because i got divorced it doesnt mean i lost all hope.",y
0,0.13,0.125, I married my cousin then got divorced and married my other cousin,0.29,@FollowSherrie I married my cousin  then got divorced and married my other cousin.,y
0,0,0,Thank God Marge and Homer arent getting divorced I got so scared  TheSimpsons,0,Thank God Marge and Homer aren't getting divorced. I got so scared. ???? #TheSimpsons,n
0,0.28,0.283333333, Yes I totally get that I used to have 3 divorced 1 eldest 1 got married now a daddy youngest 1 has own Fencing Co,0.67,@CeliaPienkosz Yes  I totally get that  I used to have 3  divorced 1  eldest 1 got married  now a daddy  youngest 1 has own Fencing Co.,n
0,0,0,Feel like we got divorced but I didnt have anything for her to take except my heart custodyBattle,0,Feel like we got divorced but I didn't have anything for her to take except my heart.. #custodyBattle,y
0,0.15,0.15,  Yeah I was too I got married young amp divorced Felt like I failed which I had then met a great woman amp 30 yrs so far,0.54,@Kerplunkenish  Yeah I was too. I got married young &amp; divorced. Felt like I failed which I had  then met a great woman &amp; 30 yrs so far,y
0,0,0, Athena came to me once and thought you were there reason we got divorced I told her it was actually my fought how I ,0.1,@MasterSebSmythe Athena came to me once and thought you were there reason we got divorced I told her it was actually my fought how I -,y
0,1,1,I had the best sex ever when I got divorced  mom wtfamy throwingup ,0.3,"""I had the best sex ever when I got divorced"" - mom #wtfamy #throwingup ???˙",y
0,0,0, when Noor and I got divorced for the 13th time ,0,@TesiaWu when Noor and I got divorced for the 13th time http://t.co/DRBbX3CcvU,y
0,0.25,0.25,I got married and divorced all in one day ,0.25,I got married and divorced all in one day ????????????,y
0,0.25,0.25,I think he had a baby I wonder if hes divorced yet lemme check online  if he got married,0.25,I think he had a baby I wonder if heÉ??s divorced yet lemme check online ???? if he got married,n
0,0.65,0.65,My stepladder is so great Im almost glad my ladders got divorced,0.88,My stepladder is so great  I'm almost glad my ladders got divorced.,n
0,0,0,So I went to meet up w the guy I got the hedgehogs from amp he said he thought I was going to be a divorced woman in my 40s who wanted pets,0,So I went to meet up w the guy I got the hedgehogs from &amp; he said he thought I was going to be a divorced woman in my 40s who wanted pets,n
0,0.17,0.175,Technology has come so far I just married someone via text almost got divorced and reconciled ,0.63,Technology has come so far. I just married someone via text  almost got divorced and reconciled ????,n
0,0.06,0.05952381,Also from what I can see RachelDolezal started being Black sometime in 2007 Right around the time she got divorced,0.48,"Also from what I can see #RachelDolezal started being ""Black"" sometime in 2007. Right around the time she got divorced.",n
0,0,0,I cant believe robin and barney got divorced its a devastation,0,I can't believe robin and barney got divorced it's a devastation,n
0,0.13,0.133333333,Im so sad John and Holly got divorced though I loved those two so much,0.67,I'm so sad John and Holly got divorced though. I loved those two so much.,n
0,0,0,Two people just got divorced in this save luckily I only have one employed which means I dont have to fire anyone TEW2013,1,Two people just got divorced in this save  luckily I only have one employed which means I don't have to fire anyone #TEW2013,n
0,0.25,0.25, I guess everyone got married amp divorced ,0.25,@juana426 I guess everyone got married &amp; divorced ???Å,n
0,0.42,0.416666667,Spidey Well i got divorced My daughter got hurt and i lost my memory but otherwise im fine You,0.5,@Reilly_Spidey Well  i got divorced  My daughter got hurt and i lost my memory  but otherwise iÉ??m fine. You?,y
0,0.42,0.416666667, I got divorced cuz he was shagging a fat bird while I was pregnant it was lovely,0.63,@dernachtwachter I got divorced cuz he was shagging a fat bird while I was pregnant  it was lovely,y
0,0.25,0.25,I had a dream that Kim and Kanye got divorced and she was getting married to Rae Smemmurd but Kim and Kanye rekindled over grilled cheese,0.25,I had a dream that Kim and Kanye got divorced and she was getting married to Rae Smemmurd  but Kim and Kanye rekindled over grilled cheese????,n
0,0.5,0.5,Reygan and I got divorced because she thought I didnt love troy anymore because he got kicked out of juvy,0.6,Reygan and I got divorced because she thought I didnt love troy anymore because he got kicked out of juvy,y
0,0,0,  I lost 14 stone overnight I got divorced,0,@BeautyGirIs @AwkwardComedy I lost 14 stone overnight. I got divorced.,y
0,0,0, Im not close with the bride of a wedding I was in anymore I deduced through Facebook posts that she got divorced and remarried,0,@SecretWZL I'm not close with the bride of a wedding I was in anymore. I deduced through Facebook posts that she got divorced and remarried.,n
0,0,0,I think I got divorced ,0,I think I got divorced ????????,y
0,0,0,I talk like Im a divorced dad No I cant do anything I got my kid that day,0,"I talk like I'm a divorced dad. ""No I can't do anything. I got my kid that day.""",n
0,0.25,0.25,I was married 3 times I divorced my first one because she wouldnt give me head anymore after we got married,0.28,"""I was married 3 times  I divorced my first one because she wouldn't give me head anymore after we got married""",y
0,0,0,WHY AM I JUST NOW FINDING OUT THAT NICK CANNON AND MARIAH CAREY GOT DIVORCED,0,WHY AM I JUST NOW FINDING OUT THAT NICK CANNON AND MARIAH CAREY GOT DIVORCED,n
0,0,0,Mom did you hear the simpsons are getting divorced Me like the cartoonMom yeah i think hes got another women,0,"Mom 'did you hear the simpsons are getting divorced?' 
Me 'like the cartoon?'
Mom 'yeah i think hes got another women'",n
0,0,0,I was obviously ahead of my time again I got divorced way before samesexmarriage was even considered,0.5,I was obviously ahead of my time (again). I got divorced way before #samesexmarriage was even considered,n
0,0.8,0.8,Hit it  he would be ashamed to say oh I divorced her bc I got what I wanted it no one would do that lol,0.7,"Hit it + he would be ashamed to say ""oh I divorced her bc I got what I wanted it"" no one would do that lol.",n
0,0,0,Wheres your wifeYa know we got divorced bc I told that bitch to get a ride home,0,"""Where's your wife?""
""Ya know we got divorced bc I told that bitch to get a ride home""
????????????",n
0,0.17,0.166666667, Was older of two Then I got divorcedstepped into secondyoungest of four,0.33,@SouthernPlate Was older of two. Then I got divorced/stepped into second-youngest of four.,n
0,0.05,0.05,helping them  i have absolutely no regrets about getting a divorce that should have been got in 2006 when i divorced a manyesj,0.2,helping them -- i have absolutely no regrets about getting a divorce that should have been got in 2006 when i divorced a man.yes.j,y
0,0,0,I just got divorced ,0,I just got divorced ????,y
0,0.83,0.825520833, lol I got that too The tosser whos gonna get divorced if gay marriage is legalised Oh hang on I think tossing is also a sin,0.64,@kateiselin lol I got that too! The tosser who's gonna get divorced if gay marriage is legalised! Oh hang on  I think tossing is also a sin!,n
0,0.04,0.041666667, ok ok im sorry look its been a hard day i got divorced can i beg for forgiveness bc i need romantic advice and a hug,0.61,@Dandy704 ok ok im sorry look its been a hard day i got divorced can i beg for forgiveness bc i need romantic advice and a hug,y
0,-0.03,0.033333333, soooo Im confused Your singleyou got divorced while your wife is pregnant,0.6,@BrandonJennings soooo. I'm confused. Your single....you got divorced while your wife is pregnant?,n
0,0,0, I got divorced off vodka crans once ,0,@Tiffuhkneexoxo I got divorced off vodka crans once ????,n
0,-0.7,0.7, Don Nason I tried that i ended up divorced 3 times Got the Crabs twiceDeveloped bad groin problemsAnd i got Dandruff,0.67,@interstingfact2 Don Nason I tried that i ended up divorced 3 times Got the Crabs twice.Developed bad groin problems.And i got Dandruff,n
0,0.38,0.375,Ive had this photo of mama June in my room since she got married shes divorced now I love here comes honey boo boo ,0.42,I've had this photo of mama June in my room since she got married (shes divorced now) I love here comes honey boo boo http://t.co/r9GeGNeItB,n
0,-0.75,0.75,Nya and I got divorced again ,1,Nya and I got divorced again :(,y
0,0.32,0.318181818,I had to tell her I divorced some of them and got new better ones,0.48,I had to tell her I divorced some of them and got new better ones,n
0,0.8,0.8, well ever since me and Matt got divorced  asked me out on a date and wellI said yes lol ,0.7,@devazha well ever since me and Matt got divorced  @StephenCurry30 asked me out on a date and well....I said yes lol ????,y
0,0.14,0.136363636,I read an article today about a man who got divorced from his wife He dug a cave and live in it for 10 years Hes happier for it,0.5,I read an article today about a man who got divorced from his wife. He dug a cave and live in it for 10 years. He's happier for it.,n
0,0.5,0.5, The wonderful year I got  divorced and moved back to Dallas,0.5,@sdlaw2006 The wonderful year I got  divorced and moved back to Dallas!,y
0,0.1,0.1,i cant stress enough how much it frustrates me that barney and robin got divorced,0.35,i can't stress enough how much it frustrates me that barney and robin got divorced,n
0,0,0,Lockser I came to fairytail because my mom dad got divorced and were killing I dont have anyone,0,"@Julia_Lockser ""I came to fairytail because my mom dad got divorced and were killing I don't have anyone",n
0,1,1, I got divorced 19 years ago this year best thing I have ever done,0.3,@mimihaha03 I got divorced 19 years ago this year  best thing I have ever done,n
0,0,0,Did your mother ever tell you the story why we got divorceddadNo what is itmeThere is no story i still dont know why dad,0,"Did your mother ever tell you the story why we got divorced-dad
No what is it-me
There is no story i still dont know why -dad",n
0,0.25,0.246590909,   I  this Ive always liked my first and middle names but when I got divorced I chose my new,0.4,@JenasaurusWake @stillicides @hansmollman I Éù?ã?è this. I've always liked my first and middle names  but when I got divorced I chose my new,y
0,0,0,Mom and Dad got divorced when Shiha and I were 13      ,0,Mom and Dad got divorced when Shiha and I were 13 É?? (?? ; ?? ; `),n
0,0.32,0.31875,  thanks for telling me that we got divorced and idc I still got my one true wifey  ,0.43,@LexiMergell @lauryntooleyy thanks for telling me that we got divorced. ???ùand idc I still got my one true wifey! @lostboyyensid ????,n
0,0,0,No I dont want youre phone number and I dont care that you just got divorced,0,No I don't want yo're phone number and I don't care that you just got divorced,n
0,0.42,0.416666667,If you got two kids that a month apart and divorced what makes you think I would talk to you  its always the fine niggas too ,0.5,If you got two kids that a month apart and divorced what makes you think I would talk to you ???? it's always the fine niggas too ????????????,n
0,0.5,0.5,I had someone try to steal my identity but then we got divorced so Im able to be myself again,0.63,I had someone try to steal my identity but then we got divorced so I'm able to be myself again.,n
0,0.25,0.25,I got married amp divorced all n 1week,0.25,I got married &amp; divorced all n 1week,y
0,1,1,I divorced my 4th wife 9 years ago She got the house and I got the dog Best decision I ever did make backhome smalltown,0.3,"""I divorced my 4th wife 9 years ago. She got the house and I got the dog. Best decision I ever did make."" #backhome #smalltown",y
0,-0.25,0.25,  sama man i only got one wtf Tfw divorced without benefits,1,@nayaZizaK @StupiDimi @wave_sama man i only got one wtf. Tfw divorced without benefits,n
0,0.8,0.8, shes not divorced me yet so I think Ive got away with it lol,0.7,@JodieMarieBx she's not divorced me yet so I think I've got away with it lol,n
0,0,0,i just got divorced,0,i just got divorced.,y
0,0.2,0.2,  for real  Ive seen the stupidest reasons I know people who got divorced over doing the dishes ffs,0.3,@PrincessBahjaa  for real ???????????? I've seen the stupidest reasons ...I know people who got divorced over doing the dishes ffs,n
0,0.25,0.25,I just got engaged married and divorced in the space of about an hour All happening in Horse and Farrier tonight,0.25,I just got engaged  married and divorced in the space of about an hour. All happening in Horse and Farrier tonight.,n
0,-0.4,0.4,Im so confused because I thought Hilary and bill got divorced when he had relations  with that one ladyBut if its on snapchat it Tru,0.7,I'm so confused because I thought Hilary and bill got divorced when he had relations (???ü????) with that one lady.But if it's on snapchat it Tru?,n
0,-0.35,0.35,I had no idea Scorpio women got divorced and shit Like youre so obsessed with me you even know my zodiac sign ,0.9,I had no idea Scorpio women got divorced and shit. Like yo're so obsessed with me you even know my zodiac sign? ????????????,n
0,-0.29,0.291666667,Got kettle corn and a mikes hard Im officially 40 and divorced,0.54,Got kettle corn and a mikes hard. I'm officially 40 and divorced,y
0,0,0,Remember when I got divorced ,0,Remember when I got divorced ????,y
0,0.33,0.333333333,HE GOT HER PREGNANT AND I SWITCHED TO HER PERSPECTIVE AND WATCHED THEM GET DIVORCED HOLY SHET,0.5,HE GOT HER PREGNANT AND I SWITCHED TO HER PERSPECTIVE AND WATCHED THEM GET DIVORCED HOLY SHET,n
0,0.25,0.25,I got married in my dream and my husband wouldnt stop hugging me so I divorced him ,0.25,I got married in my dream and my husband wouldn't stop hugging me so I divorced him ???ü,n
0,0.09,0.091666667, I think she got divorced then had a few serious boyfriends after that as far as Ive heard lol but she is bae,0.62,@boywondernate I think she got divorced  then had a few serious boyfriends after that  as far as I've heard lol but she is bae,n
0,-0.16,0.1625, yessss 8D I just got divorced a few months ago so its been a little ROUGH,0.33,@Purpleweeble yessss 8D!!!! I just got divorced a few months ago so it's been a little ROUGH,y
0,0,0,I aint got no wife even tho we havent divorced yet  I told that bitch Ill beat you up my damn self  amp was soo seriousness ,0,I ain't got no wife even tho we haven't divorced yet . I told that bitch I'll beat you up my damn self . &amp; was soo seriousness .,n
0,-0.17,0.175,She got married just to get divorced I knew she was an unstable ass creature bitch is crazy,0.57,She got married just to get divorced I knew she was an unstable ass creature bitch is crazy,n
0,0.19,0.193181818,Me and my mobile phone company get divorced after 5 years contract And i got married to a new one,0.35,"Me and my mobile phone company get divorced after 5 years contract. And i got married to a new one.
????????????????????????????????????????????????????",n
0,0,0,i havent talked to nick since we got divorced,0,i havent talked to nick since we got divorced,y
0,0,0,Ive got divorced with hoseok pls,0,I've got divorced with hoseok pls,n
0,-0.45,0.45,Well so calzona get divorced reamy are breaking up and piper fucking cheated on alex at least i got my brittana endgame for ever ,0.6,Well so calzona get divorced  reamy are breaking up and piper fucking cheated on alex at least i got my brittana endgame for ever ???ç,n
0,0,0, forget marriage equality i wouldve divorced him the minute he got his ear cartilage pierced,0,@BuzzFeed forget marriage equality  i would've divorced him the minute he got his ear cartilage pierced.,n
0,-0.17,0.166666667,b  Cripes I walked out of the G crying more tears from heartbreak over those bloody Pies than I did when I got divorced ,0.67,@wesy_b @itsLisa__ Cripes I walked out of the G crying more tears from heartbreak over those bloody Pies than I did when I got divorced ????????,n
0,0,0,renwick I just lost 200k fans on Kim K because I got divorced bitch youre my rebound,0,@freddie_renwick I just lost 200k fans on Kim K because I got divorced bitch yo're my rebound,n
0,0.42,0.425, and that girl he with is that suppose to be my wife i married she divorced someone got millions out of him now has her own school,0.63,@BBCNews and that girl he with. is that suppose to be my wife i married. she divorced someone got millions out of him now has her own school,n
0,0,0, been celibate since before I got divorced years ago Yeah Im probably doing it wrong Hope you feel better soon,0.7,"@SatanJonez been celibate since before I got divorced years ago. Yeah... I'm probably doing it wrong. Hope you feel ""better"" soon.",n
0,0.25,0.25, if I was married to her Id never got divorced,0.25,@DivorcedMILFS if I was married to her I'd never got divorced,n
0,0,0,The man said hes teeth got divorced omfg Im still not over that  hes like tell your cockroaches to holla at me  omfg ,0,The man said he's teeth got divorced omfg I'm still not over that ???????????????? he's like tell your cockroaches to holla at me ???????????????????? omfg ????????????????????????????????????????????,n
0,0,0,My neighbor divorced her husband amp got a dog I wish shed get rid of the lil yapper amp take her husband back Im havin difficulties adjustin,0,My neighbor divorced her husband &amp; got a dog. I wish she'd get rid of the lil yapper &amp; take her husband back. Im havin difficulties adjustin,n
0,0.4,0.4,wait what I didnt know patrick dempsey got divorced lmao merder is almost real,0.65,wait what I didn't know patrick dempsey got divorced  lmao merder is almost real,n
0,0.22,0.216666667, I wanna look pregnant not like a 45 year old man who just got divorced ,0.35,@yungbootyhole I wanna look pregnant not like a 45 year old man who just got divorced ????????,n
0,-0.5,0.5,So yaif at all I feel sorry isfor a change this guyI dunno hez also bhola lilcoz he got divorced finally ,1,So ya...if at all I feel sorry is...for a change this guy...I dunno. ..hez also bhola lil...coz he got divorced. ..finally. ..,n
0,0,0,Overheard as I was walking to Bel Ami I NEED my ass back to how it was before I got divorcednice amp sculpted sundays UpperEastSide,0,"Overheard as I was walking to Bel Ami  ""I NEED my ass back to how it was before I got divorced...nice &amp; sculpted!"" #sundays #UpperEastSide",y
0,0,0, well I dont wanna be divorced but hes got lil maids n shit,0,@EHirschfield well I don't wanna be divorced but he's got lil maids n shit????,n
0,0,0,My coworker asked me if I would be with him forever if he got divorced from his wife What Where did that come from No not even a day,0,My coworker asked me if I would 'be with him forever' if he got divorced from his wife. What? Where did that come from? No  not even a day.,n
0,0,0,  where did i got that word fromagain we never gort divorced,0,@SaherAyub @Ftariq08 where did i got that word from.again? we never gort divorced,n
0,0.19,0.1875,if ai and i ever got divorced it would be because we would never stop fighting about who loves the other one more jsjsj CAN YOU IMAGINE,0.44,if ai and i ever got divorced it would be because we would never stop fighting about who loves the other one more jsjsj CAN YOU IMAGINE,n
0,0,0, Reason 6 on Why I got Divorced,0,@Carbosly Reason #6 on 'Why I got Divorced',n
0,0.11,0.114285714,hashtag single life hashtag freshly divorced hashtag I got cheated on,0.36,hashtag single life. hashtag freshly divorced. hashtag I got cheated on.,y
0,-0.3,0.3, S  And now after divorce he wants to marry Najwa again How stupid is that He shld nt hv divorced at all,0.55,@Titansrof @Shaheer_S @whatsonANTV And now after divorce he wants to marry Najwa again... How stupid is that? He shld nt hv divorced at all,n
0,-0.16,0.15625,im from a catholic family but even my parents think that just bc youre divorced doesnt mean you cant go to church or pray,0.39,i'm from a catholic family but even my parents think that just bc yo're divorced doesn't mean you can't go to church or pray,n
0,0.06,0.0625,Every man knows which one of his married friends will be divorced in ten years and then only date asian women,0.31,Every man knows which one of his married friends will be divorced in ten years and then only date asian women.,n
0,0.35,0.35,  Why do media always call Yvette Cooper Yvette Cooper amp not her full name Yvette CooperBalls Has she divorced,0.55,@itvnews @Puffles2010 Why do media always call Yvette Cooper  Yvette Cooper  &amp; not her full name Yvette Cooper-Balls? Has she divorced?,n
0,0,0,She has divorced her husby official Biko wah happened to Toke U dnt have to call me lastma,0,"She has divorced her husby ""@Anu_official: Biko wah happened to Toke? U dnt have to call me lastma""",n
0,-0.2,0.2,Worldwide approximately 6 of divorced couples remarry the same person ,0.36,Worldwide  approximately 6% of divorced couples remarry the same person. @ALIBABAGCFR,n
0,0.2,0.2, married the first time We w3re young We sat and discussed what we would do if we fell apart and got divorced We decided,0.33,@taylorswift13 married the first time? We w3re young. We sat and discussed what we would do if we fell apart and got divorced. We decided,n
0,0.17,0.166666667,Married at First Sight  Divorced at 3rd,0.19,Married at First Sight ... Divorced at 3rd,n
0,0,0, check four court room cases about me getting divorced Th3re werent any We nev3r went I was a purfect gentleman,0,@taylorswift13 check four court room cases about me getting divorced. Th3re weren't any. We nev3r went. I was a purfect gentleman.,n
0,0.27,0.266666667,Rosie if im on benefits then so are you cos were a married couple  Rose Rosie we divorced long ago   ,0.53,"Rosie- 'if im on benefits  then so are you cos we're a married couple'  
Rose- 'Rosie we divorced long ago' ???? @RoseEllenDix @RoxeteraRibbons",n
0,0,0,YAY janet and hank are divorced in the antman movie,0,YAY janet and hank are divorced in the ant-man movie,n
0,0,0, S  is yes in Islam when a man who divorced woman and wanted to marry with tht woman,0,@ForShaheer @Shaheer_S @whatsonANTV is yes in Islam when a man who divorced woman and wanted to marry with tht woman.,n
0,0.28,0.283333333,When her parents divorced during So Hot days Sohee became more mature,0.48,When her parents divorced during So Hot days  Sohee became more mature.,n
0,-0.1,0.1, I left my ex wife and got divorced because she lied to me four 10 years about h3r child Then she cheated on me a few times,0.05,@taylorswift13 I left my ex wife and got divorced because she lied to me four 10 years about h3r child. Then she cheated on me a few times.,y
0,-0.07,0.071428571,  Id vote 4 u but dont lecture us on traditional marriage U have no right being twice divorced amp a cheater,0.64,@realDonaldTrump @FuturisticHub I'd vote 4 u but don't lecture us on traditional marriage. U have no right being twice divorced &amp; a cheater.,n
0,-0.52,0.520833333,having divorced parents is hard  ,0.77,having divorced parents is hard :( http://t.co/AA2T311AoH,n
0,0.1,0.1,Met a 40 divorced overweight man who was complaining that his 600cc motorcycle is a bit slow yes Im sure it is,0.64,Met a 40+  divorced  overweight man who was complaining that his 600cc motorcycle is a bit slow... yes. I'm sure it is.,n
0,0.4,0.4,Islamic teachings free thelactating mother from anyresponsibility for her sustenanceeven if she is divorced,0.8,"É??Islamic teachings free the
lactating mother from any
responsibility for her sustenance 
even if she is divorced.",n
0,0.25,0.25,Dont wanna get divorced once Im married,0.25,Don't wanna get divorced once I'm married...,n
0,0,0,n islam Divorced mothershould B supported in hernursing of her childThe fathershould pay her cost of living asshell breastfeed,0,"n #islam  Divorced mother
should B supported in her
nursing of her child.The father
should pay her cost of living as
she'll breast-feed",n
0,0.21,0.210227273,Wife Where you going tonightHusband The launch of the New Arsenal KitWife We are divorced I want a real man ,0.38,"Wife: Where you going tonight?
Husband: The launch of the New Arsenal Kit!
Wife: We are divorced I want a real man! ????????????????",n
0,0.25,0.25,Get married  have a child  Divorced Why,0.25,Get married   have a child...  Divorced. Why?,n
0,0,0,I could be divorced by years end MondayMotivation,0,I could be divorced by years end #MondayMotivation,n
0,0,0,You cannot afford to get divorced,0,You cannot afford to get divorced.,n
0,-0.01,0.008333333,InIslam If the parents areseparated ordivorcedtheyshould frequently counsel eachother for the sake of the childsfuture,0.27,"""In
#Islam
  If the parents are
separated or
#divorced
they
should frequently counsel each
other for the sake of the child's
future""",n
0,0,0,I had a dream that my parents got divorced and took us to Disney world for 30 minutes to tell us,0,I had a dream that my parents got divorced and took us to Disney world for 30 minutes to tell us.,n
0,0.14,0.142857143,Supervisor People are getting divorced Left right and centre,0.27,Supervisor: People are getting divorced. Left right and centre.,n
0,-0.78,0.78125, worse now cause they divorced DSTV needs to put us on with MTV2,0.6,@SenseiMizzo worse now cause they divorced. DSTV needs to put us on with MTV2!!!,n
0,0.8,0.8,36 at the gym every morning one kid drives a Land Rover divorced Hit me up lol,0.7,36  at the gym every morning  one kid  drives a Land Rover  divorced... Hit me up lol,n
0,0,0,  5 yrs in Japan 1st 3 months I thought I was saying I dont understand but was actually saying Im not divorced,0.1,"@RobynBresnahan  5 yrs in Japan. 1st 3 months I thought I was saying ""I don't understand"" but was actually saying ""I'm not divorced""",n
0,0.8,0.8,Keep up the gd jams Shout out to me hoping I get the word of officially being divorced today Lol shout out to my aunt  tnp,0.7,Keep up the gd jams.. Shout out to me hoping I get the word of officially being divorced today.. Lol shout out to my aunt @cindy1989joe #tnp,y
0,0,0, rights are not rights if they can be taken away ask any divorced separated father who went through family courts about rights,0,@BBCTalkback rights are not rights if they can be taken away  ask any divorced separated father who went through family courts about rights,n
