Clean tweet,L,absPolarity,sentiment_polarity,sentiment_subjectivity,tweet,url,and,all,love,just,drunk,is,am,as,at,have,in,go,still,your,for,that,when,to,got,you,was,be,we,do,get,fuck,not,amp,with,he,a,on,last,like,of,up,this,night,the,think,are
Sometimes I forget that Im pregnant,True,0.0,0.0,0.0,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
I just got pregnant  cheers ,True,0.33,0.33,0.5,,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
My boyfriend has convinced ppl that Im pregnant ahahahaha fuck,True,0.03,-0.03,0.55,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MyPYE no he needs to relax  My mama said hes always so tense Bc of the arguing I did while I was pregnant ,True,0.04,0.04,0.5,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
 I got a girl pregnant,True,0.33,0.33,0.5,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
I find it crazy after being 6 months pregnant I still pushed myself to work 2 jobs  But now I dont work I just feel lazy as hell,True,0.17,-0.17,0.8,,0.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
When I found out I was pregnant I was crying like   Jemarcus was cool af  tryna make me feel better I wasnt tryna hear none of that ,True,0.25,0.25,0.56,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
Im so over this shit I just feel like crying I will never and I mean never get pregnant again,True,0.09,-0.09,0.65,,0.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Hi m 10 weeks pregnant and afer a few days i feel a light red colour doc says   PREGNANCY PARENTING,True,0.13,0.13,0.32,,1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
I feel so stupid for ever thinking I was fat before getting pregnant I already cant wait to get this baby weight off,True,0.23,-0.23,0.75,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
Being sick the last couple days and pregnant I feel like I am so behind So much laundry to do and dishes and ,True,0.12,-0.12,0.46,,1.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
getting pregnant has made me realize who my real friends are and Im only going to let those people around my son,True,0.18,0.18,0.6,,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
 when I was pregnant I hated when people would say You dont even look pregnant Well I am pregnant and I FEEL pregnant,True,0.12,0.12,0.54,,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
I may be pregnant ,True,0.33,0.33,0.5,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Was pregnant on my 18th 21st and tomorrow my 23rd And probably my 25th if tom doesnt have his balls cut off ,True,0.17,0.17,0.25,,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
It really feel like I been pregnant for a year now,True,0.27,0.27,0.35,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
Im pregnant ,True,1.0,1.0,0.5,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Even tho it was frustrating that it took few months for us to get pregnant Im glad shes coming when she is,True,0.06,0.06,0.63,,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36 weeks pregnant on my 23rd birthday  ,True,0.42,0.42,0.5,,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Feels so funny not to be pregnant,True,0.29,0.29,0.75,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Havent had stir fry since before I was pregnant  it was a major food aversion during pregnancy ,True,0.2,0.2,0.5,,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
My pregnant sister is talking about clubbing in Mexico,True,0.33,0.33,0.5,,0.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Can my baby come alreadydamn I been pregnant a whole year,True,0.27,0.27,0.45,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Im over these pregnant emotions  I never been in my feelings so much in my life,True,0.27,0.27,0.35,,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aint nobody treat me like that when I was pregnant in school,True,0.33,0.33,0.5,,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
oops Im pregnant ,True,0.33,0.33,0.5,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
 Really I need a life Ha Oh btw Just found out Im pregnant Told my husband its Neds,True,0.29,0.29,0.35,,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
 Im pregnant ,True,0.42,0.42,0.5,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
br000k3 I miss being pregnanty,True,0.33,0.33,0.5,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
 lucydawes roddis Im pregnant is the only clue that i wouldve understood,True,0.17,0.17,0.75,,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
In my header it looks like Im pregnant 00,True,0.33,0.33,0.5,,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
High23   its because Im pregnant  I never really ate apple sauce like that,True,0.12,0.12,0.35,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
I think Im pregnant I ate so much,True,0.27,0.27,0.35,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
 does that mean you all hope Im pregnant too  Im so thankful,True,0.01,0.01,0.59,,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Im pregnant,True,0.33,0.33,0.5,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
  Im pregnant and its because of Lauren,True,0.33,0.33,0.5,,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Im pregnantand you call me fat Ok,True,0.5,0.5,0.5,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Im pregnant,True,0.81,0.81,0.5,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
 at least everyone knows Im pregnant now,True,0.02,0.02,0.45,,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
and Im pregnant,True,0.33,0.33,0.5,,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Paven has gotten me sick now Worst part is I cant take anything because Im pregnant ,True,0.46,-0.46,0.79,,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Im high key boring bc i dont party while Im pregnant guys lmfao okay,True,0.0,0.0,0.71,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ndreaaaa yeah it cleared by the time I was signing was just a morning thing I might be pregnant o,True,0.19,0.19,0.75,,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
Damn I aint had a Krystal since I was pregnant I used to eat them mfers all the time then get heartburn,True,0.33,0.33,0.5,,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
StereoKicksAnnouncement Jake is pregnant,True,0.65,0.65,0.5,,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pause Yeah My fault for looking on FB Time to face forward,True,0.0,0.0,0.0,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
You know youre pregnant when you go outside see sunlight and feel the nice weather and you start to cry  my pregnant sister,True,0.32,0.32,0.51,,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
The fact that my boobs are still big from being pregnant Ill take it,True,0.0,0.0,0.1,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
Orange cream soda from good  has definitely satisfied my 8 months pregnant belly Love it,True,0.17,0.17,0.7,,1.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
 no idea I need to google the etiquette They announced she was pregnant in a cool way I cant wait till the baby shower,True,0.02,0.02,0.57,,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
I miss my pregnant belly OMG ,True,0.33,0.33,0.5,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
my sister and i wanted to get a tattoo but shes always pregnant so,True,0.33,0.33,0.5,,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
I am not feeling well this morning Nauseous I hope Im not pregnant Again,True,0.08,0.08,0.5,,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Just found out my sister is 5 months pregnant from my cousin wtf,True,0.28,0.28,0.75,,0.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MY SISTER IS PREGNANT  ,True,0.33,0.33,0.5,,1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
I have a good and bad news Im pregnant,True,0.08,-0.08,0.59,,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Jack gilinsky Im pregnant and ur the father,True,0.11,0.11,0.5,,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
i think im pregnant sorry ash i didnt listened to you vote5sos kca iHeartAwards BestFanArmy 5sosfam ,True,0.33,0.33,0.75,,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Thats why my ass is pregnant now,True,0.44,0.44,0.5,,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
My aunt khris pregnant so happy for her and khristopher wethegang,True,0.33,0.33,1.0,,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
almost 10 months pregnant still getting sick to my stomach and having to take medicine,True,0.1,0.1,0.68,,1.0,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
And anybody that got something to say bout my mean fat ass being pregnant Can kiss my mean pregnant fat ASS,True,0.42,0.42,0.59,,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
 in my waist amp Im close to 30 wks pregnant I dont know if thats impressive only 5in or depressing my waist was that big,True,0.01,0.01,0.7,,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ppl ask wats the problem with me Im bipolar and Im pregnant thats wats wrong,True,0.33,0.33,0.7,,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
 5WordDealBreakers Im pregnant Its not yours,True,0.03,0.03,0.5,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
So  Doc for telling us shes 4 months pregnant Little salty she didnt tell me sooner I thought what we had was special,True,0.27,0.27,0.52,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
I stop working when I was 8 months pregnant lol why would I go back to work right now amp I just had a baby ,True,0.47,0.47,0.43,,0.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Hows it that Im pregnant and yall stay in my inbox,True,0.33,0.33,0.5,,0.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Im bout to lay my pregnant ass on this floor and cry ,True,0.33,0.33,0.5,,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
My shoulders are showing Im going to get pregnant,True,0.33,0.33,0.5,,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
 maybe Im just pregnant ,True,0.33,0.33,0.5,,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
 oh yes  cake and ice cream since Im pregnant its what Im craving LumiaFamSweeps,True,0.42,0.42,0.5,,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ugh Im pregnant so this weekend dont mean much to me,True,0.07,0.07,0.46,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
  Oh man Im the exact same way  That stuff was dangerous when I was pregnant,True,0.0,0.0,0.44,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
 Yeah Napping is good Totally yawns and leans into you I cant help it Im exhausted And pregnant,True,0.16,0.16,0.64,,0.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Girlie Im never getting pregnant ,True,0.33,0.33,0.5,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
 idk maybe its because Im pregnant but Im a very emotional person Girl like I was crying hard as hell eyes puffy as hell,True,0.04,-0.04,0.62,,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
10 days postpartum and Im still eating like Im pregnant ,True,0.33,0.33,0.5,,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
 Im really pregnant you dont have to tell me about a pregnancy ,True,0.33,0.33,0.5,,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Im a thot because Im pregnant at 17 yet half your moms probably were the same age,True,0.06,0.06,0.26,,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
I feel like Im 4297 months pregnant ,True,0.21,-0.21,0.75,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
So Im gonna be a mommy Yep Thats right Im pregnant,True,0.35,0.35,0.52,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
I feel like Im going to be pregnant forever ,True,0.33,0.33,0.5,,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Mannnnn I hate being sick Oh my  Maybe Im pregnant,True,0.29,-0.29,0.75,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
 oops Im pregnant,True,0.33,0.33,0.5,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Im 75 months pregnant at your Birmingham gig  do I have your youngest fan  ,True,0.33,0.33,0.5,,0.0,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Being that Im 30 weeks pregnant I need to do whatever I can to keep her in until at least June 20th,True,0.01,0.01,0.3,,0.0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
 Im pregnant,True,0.333333333,0.33,0.5,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Im pregnant,True,0.333333333,0.33,0.5,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Even tho Im pregnant I still wear my Bikini  Idc idc idc ,True,0.333333333,0.33,0.5,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
 ahhh and my excuse is just that Im pregnant haha,True,0.161111111,0.16,0.28,,0.0,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
young05 Were dying to hear the words IM PREGNANT from you   ,True,0.47916666700000005,0.48,0.88,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
