sentiment_polarity,absPolarity,Clean tweet,sentiment_subjectivity,tweet,L,and,all,love,just,drunk,is,am,as,at,have,in,go,still,your,for,that,when,to,got,you,was,be,we,do,get,fuck,not,amp,with,he,a,on,last,like,of,up,this,night,the,think,are
-0.5,0.5, girl you know I come drunk,1.0,@KallaTheStylist girl you know I come drunk,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
-0.5,0.5,No matter how drunk I am when I get home I always manage to take my makeup off at night ,1.0,No matter how drunk I am when I get home I always manage to take my makeup off at night 😭👌🏽,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
-0.3,0.3,I spent 70 at Phils In case you were wondering just HOW drunk I was  still am,0.55,I spent $70 at Phil's. In case you were wondering just HOW drunk I was / still am,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
-0.27,0.273611111,i AM SO SORRY if you think using i was drunk as an excuse for fucking up is an okay thing to do it must be hard to be so stupid ,0.68,"i AM SO SORRY if you think using ""i was drunk"" as an excuse for fucking up is an okay thing to do  it must be hard to be so stupid : (",True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
-0.5,0.5,Already kinda drunk,1.0,Already kinda drunk,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
-0.5,0.5,Hey Maria Im drunk,1.0,Hey Maria I'm drunk,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.06,0.06,This waitress was showing me the receipt last night and the whole time I was thinking god damn Im soo drunk I cant read shit lol,0.59,"This waitress was showing me the receipt last night and the whole time I was thinking ""god damn I'm soo drunk I can't read shit"" lol",True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.25,0.25,wish I was still drunk off last nights beer,0.53,wish I was still drunk off last nights beer,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.5,0.5,  considering I was drunk at 7pm on a Tuesday I dont think I am  haaaaaalppppppppp,1.0,@gypsyinthewest @maynachum considering I was drunk at 7pm on a Tuesday  I don't think I am 😭 haaaaaalppppppppp,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
-0.43,0.433333333,I remember I was drunk on Twitter telling my followers to follow me on Twitter that shit was crazy cause somebody unfollowed me then,0.9,I remember I was drunk on Twitter telling my followers to follow me on Twitter  that shit was crazy cause somebody unfollowed me then,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0, lets get drunk and everything will be ok Just invite me please,0.75,@NiallOfficial let's get drunk and everything will be ok. Just invite me  please.,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,0.0,Love getting so drunk on pre drinks that I throw up all over my bathroom and pass out before Ive even left to go out,0.53,Love getting so drunk on pre drinks that I throw up all over my bathroom and pass out before I've even left to go out,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
0.16,0.15555555599999998,All you need is Crown Maybe some cococola But seriously every tipsydrunk moment Ive had in the last 2 years involves Crown lol,0.48,All you need is Crown. Maybe some coco-cola. But seriously every tipsy/drunk moment I've had in the last 2 years involves Crown lol,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
-0.08,0.083333333, I was drunk at 2 am and only watched the first 15 minutes and was not entertained,0.78,@frylock7 I was drunk at 2 am and only watched the first 15 minutes and was not entertained,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
-0.02,0.01875,Lol I was a little drunk when this all happened and I am giving little bit update I dont even know what is happening all I know is infinity,0.68,Lol I was a little drunk when this all happened and I am giving little bit update I don't even know what is happening all I know is infinity,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
-0.5,0.5, food  callum just reminded me of the time i ate a pizza off the floor drunk and now Im deceased,1.0,{ food } callum just reminded me of the time i ate a pizza off the floor drunk and now I'm deceased,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
0.0,0.0,when you call your parents drunk and then your phone dies gotta love them tho ,0.8,when you call your parents drunk and then your phone dies.... gotta love them tho http://t.co/ZI8NoxNpcV,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
-0.33,0.333333333,Steve and I got way drunk last night Why Because we didnt eat Go us Still drunk today Not how I wanted to spend Wednesday,0.69,Steve and I got way drunk last night. Why? Because we didn't eat. Go us. Still drunk today. Not how I wanted to spend Wednesday.,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.07,0.066666667,Its brewfest in WoW and I was also in queue for heroics I am 100 blurry screened drunk and I cant see shite ayy lmao,1.0,It's brewfest in WoW and I was also in queue for heroics. I am 100% blurry screened drunk and I can't see shite. ayy lmao,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.27,0.275, its tomorrow biiiiih I was stupid drunk last night but thanks boo ,0.57,@xaalexisk its tomorrow biiiiih I was stupid drunk last night  but thanks boo 😩😩😂🙏🏼🙏🏼,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0.13,0.125,I was literally drunk for 95 of second year and idk who I am anymore lol its probably an improvement really isnt it,0.47,I was literally drunk for 95% of second year and idk who I am anymore lol it's probably an improvement really isn't it,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
-0.5,0.5,My drunk ass ,1.0,My drunk ass http://t.co/qyQGok9RhW,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.5,0.5,I am drunk and lost and sad and surrounded by freshers I wish this was London,1.0,I am drunk and lost and sad and surrounded by freshers I wish this was London,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.5,0.5,Woke up still drunk af,1.0,Woke up still drunk af,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
-0.13,0.125,Ive just been asked what Im being for Halloween and my exact response was drunk,0.63,I've just been asked what I'm being for Halloween and my exact response was drunk,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.5,0.5,jenny if the question was what am I Id have to say drunk,1.0,@ginny_jenny if the question was what am I  I'd have to say drunk,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
-0.18,0.185,all my friends appear to still be drunk and Im very sober with a migraine,0.63,all my friends appear to still be drunk and I'm very sober with a migraine,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.5,0.5,Im getting drunk tonight Idc,1.0,I'm getting drunk tonight Idc,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
-0.3,0.3,Ben didnt think I was that drunk last night Poor him,0.56,"Ben didn't think I was that drunk last night 😂😂😂
Poor him",True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.25,0.25,Yo I was drunk asf last nigh,0.53,Yo I was drunk asf last nigh,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
-0.25,0.25,This is Kabukich Where we went to see Robot Restaurant and got drunk with my chinese friend Yungyung ,0.5,This is Kabukichō. Where we went to see Robot Restaurant and got drunk with my chinese friend  Yung-yung. http://t.co/V537mVrb1j,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.08,0.083333333,When I enrolled last year I was in the exact same position as what I am now  still drunkhungover ,0.15,When I enrolled last year I was in the exact same position as what I am now 😂😂 still drunk/hungover 👀,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
-0.27,0.26666666699999997,Last Saturday I made my sister late for work bc I was supposed to babysit but I was too drunk to wake up Said I was never drinkin again,0.56,Last Saturday I made my sister late for work bc I was supposed to babysit but I was too drunk to wake up. Said I was never drinkin again..,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.5,0.5,09154812939  call me ngayon lang totalk to me while im drunk ,1.0,09154812939 - call me!😁 ngayon lang to..talk to me while i'm drunk 😁,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.11,0.112121212,Drunk nights with good friends are what I live for,0.7,Drunk nights with good friends are what I live for,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
-0.5,0.5,Woke up drunk,1.0,Woke up drunk,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
-0.5,0.5,Andy   I already issued a disclaimer on week two that I was drunk when I made that prediction Drunk on optimism,1.0,@STV_Andy @krys1888 @STVGrant I already issued a disclaimer on week two that I was drunk when I made that prediction. (Drunk on optimism).,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
-0.38,0.375,taking this test still drunk as usual,0.63,taking this test still drunk as usual,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-0.14,0.135185185,Todays the first day of fall as in falling down drunk cause its club season again ,0.54,Today's the first day of fall  as in falling down drunk  cause it's club season again 😀,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.57,0.566666667,no matter how much shit youre in you never leave a drunk friend alone out i am disgusted by how i was treated by my friend,0.93,no matter how much shit yo're in. you never leave a drunk friend alone out. i am disgusted by how i was treated by my 'friend',True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.5,0.5,Its been 4 hours and Im still drunk,1.0,It's been 4 hours and I'm still drunk,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
-0.5,0.5, okaaaaay lets get drunk tonighttttt,1.0,@HOSHlTERU okaaaaay lets get drunk tonighttttt,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.23,0.233333333,When youre not yet at the hangover stage because youre really still drunk fuck,0.6,When yo're not yet at the hangover stage because yo're really still drunk... #fuck,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.53,0.533333333,Never experienced anything so painful as being drunk and my contacts ripping in my eye yummy,0.93,Never experienced anything so painful as being drunk and my contacts ripping in my eye yummy,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.11,0.108333333,Wholia yo I was drunk off my ass in McDonalds and some guy came in on some and apparently they make adult sizes,0.55,@Whos_Wholia yo I was drunk off my ass in McDonald's and some guy came in on some and apparently they make adult sizes!,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.25,0.25,If I took a shot for every time someone told me I was too tiny for my job Id be drunk at work every day,0.75,If I took a shot for every time someone told me I was too tiny for my job I'd be drunk at work every day,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.55,0.55,Fucking 98 yr pub staff i lose drinking so drunk,0.9,Fucking 98 yr pub staff  i lose drinking🍺  so drunk,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.5,0.5,I swear coffee and energy drinks dont work for me I just drunk a frapp and Im still so tired,1.0,I swear coffee and energy drinks don't work for me😫 I just drunk a frappé and I'm still so tired😕,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
-0.33,0.327777778,the way I slowed Down drinking I just dont be wanting to get that drunk,0.64,the way I slowed Down drinking... I just don't be wanting to get that drunk...,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
-0.5,0.5,    something about me and sports when Im blackout drunk,1.0,@NoahMoore12 @TylerDiDonato @ShaneDiDonato23 @KyleKathan3 something about me and sports when I'm blackout drunk,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.5,0.5,  YESTERDAY sorry Im drunk,1.0,@focusonmeeks * YESTERDAY sorry I'm drunk,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
-0.5,0.5,And get drunk  get tf outa here bitch ,1.0,And get drunk 😂 get tf outa here bitch .,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
-0.33,0.327777778,One time I got so drunk at Kelseys school I sat down on the floor at a party and cried about wanting a burrito and a root beer,0.64,One time I got so drunk at Kelsey's school I sat down on the floor at a party and cried about wanting a burrito and a root beer.,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
-0.5,0.5,My head hurts and I think Im still drunk,1.0,My head hurts and I think I'm still drunk,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.25,0.25,xo possibly BYOB but Ill be drunk regardless Yall can all stay the night and we can be femaley together,1.0,@ketlun_xo possibly. BYOB but I'll be drunk regardless. Y'all can all stay the night and we can be femaley together,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
-0.5,0.5,i think nobody except jaime will entertain me when im drunk ,1.0,i think nobody except jaime will entertain me when im drunk 😂,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.25,0.25,Regret getting so drunk last night I have 0 concentration,0.53,Regret getting so drunk last night  I have 0% concentration,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
0.15,0.15,Drunk textingtalking lol,0.85,Drunk texting/talking lol,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
-0.11,0.107142857,Drunk me needs to learn not to text Am I right   ,0.77,Drunk me needs to learn not to text. Am I right  @NateBailey968 ?? 😂😂,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.16,0.162121212, wow I never drunk tweet mustve reached a new level,0.82,@colparkerrr wow I never drunk tweet  must've reached a new level👾,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.5,0.5,this week has been a disaster for me so I cant wait to get drunk on Saturday ,1.0,this week has been a disaster for me so I can't wait to get drunk on Saturday 😊😊😊😊,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
-0.6,0.6, Every drunk dialtextsex or bad decision made under the influence will be in your name Scouts honour ,0.83,@Keguro_ Every drunk dial/text/sex or bad decision made under the influence  will be in your name. Scout's honour. @SinoxoloMusangi,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
-0.28,0.28,Havent had a lick of alcohol But Im drunk Ask me if I care at all Im high on life Flying like a kite Im drunk  ,0.85,Haven't had a lick of alcohol But I'm drunk  Ask me if I care at all Im high on life Flying like a kite  I'm drunk 🌀 http://t.co/LpY6YntjmI,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-0.5,0.5,My Riha Im drunk ,1.0,My Riha I'm drunk @rihanna,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.37,0.36666666700000006, Hahahaha Im so raging I hate drunk me ,0.8,@mchendryrobyn Hahahaha I'm so raging I hate drunk me 😩,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.5,0.5,Didnt think I was this drunk,1.0,Didn't think I was this drunk,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.15,0.15, Headed straight for drunk tank rehab,0.7,@rollcall Headed straight for drunk tank rehab.,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.15,0.15,So ready to get drunk tonight Wednesday with rugby I have missed you,0.75,So ready to get drunk tonight  Wednesday with rugby I have missed you💁🙈,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.34,0.34166666700000003,Getting almost black out drunk the night before work was such a bad decision I am dying,0.65,Getting almost black out drunk the night before work was such a bad decision. I am dying.,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
-0.18,0.18095238100000002,I am really really sad and feel hella stupid Whatever At least I was able to get super drunk with Caitlin last night and watch the PPV,0.68,I am really  really sad and feel hella stupid. Whatever. At least I was able to get super drunk with Caitlin last night and watch the PPV.,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.35,0.35,Im drunk as shit,0.9,I'm drunk as shit,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.23,0.225, last time I was drunk I tried to crowd surf you and dropped you omg I am a mess,0.41,@axxidentalbands last time I was drunk I tried to crowd surf you and dropped you omg I am a mess,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
0.1,0.1,I get paid to get drunk and make sure I have a fresh haircut every Monday ,0.8,I get paid to get drunk and make sure I have a fresh haircut every Monday 😂,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.98,0.9765625,I cant wait to let lose and get drunk With my fellow Alumni I miss Florida,1.0,I can't wait to let lose and get drunk. With my fellow Alumni. I miss Florida!!!,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
-0.25,0.25,Daily goals1 Go to Work2 Piss of the boss3 Get drunk4 Repeat,0.5,"Daily goals:

1) Go to Work
2) Piss of the boss
3) Get drunk
4) Repeat",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
-0.5,0.5,Its not even 9 and Im drunk,1.0,It's not even 9 and I'm drunk,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.5,0.5,i still havent done any work yet all i do is get drunk,1.0,i still haven't done any work yet all i do is get drunk,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
