Document,Class
i was drunk last night amp I was lurking through my ex page amp realized how petty I am,y
I am really really sad and feel hella stupid Whatever At least I was able to get super drunk with Caitlin last night and watch the PPV,y
 I was drunk at 2 am and only watched the first 15 minutes and was not entertained,y
 no sir I am currently in a lecture  I wish I was drunk,n
 it was idk why stopped idk of an update stopped her I love talking to Siri ESP when I am drunk she is funny lol,y
 Am I drunk I SWEAR THAT WAS JUST TEA,n
I was so relaxed and drunk an hour ago now I am sober and Grumpy and I CANNOT SLEEP,y
Keri I read drink as drunk and was like youre already drunk go home But maybe I am K bye,n
 I will have you know that I am not an alcoholic I was a drunk and there is a vast difference,y
Being the good daughter that I am I was the dd for a bunch of drunk firefighters Cant say I didnt have fun DancePartyCentral,y
 haha I still am I was just pretty drunk that night and your snake seemed better than other snakes,y
Girlz  and in case you didnt notice I am drunk the 1st tweet was a disturbance in the force,y
I was in a bus for like 4 hours and the only thing I realized was how sad I am and that I need a drink I fucking need to get drunk,n
 last time I was drunk I tried to crowd surf you and dropped you omg I am a mess,y
i have come back from a bar and now i am eating pasta drunk in bed this is the life i was born to live,y
Tell me why I left a party at 1 am drunk thirty minutes away just because all I could think about was your ass,y
once at a university party I kissed a chickpea I was drunk it didnt mean anything and I am sorry I hope it wont affect my future career,y
am I on the bed it thought I was on the couch this entire time drunk carly,n
Why do people ask How was work Likework is workId rather be drunk on a yacht being hand fed grapes by underwear modelsbut here I am,n
i swear to Drunk Eye Am NoT God amp thank God for that because if I was I would send all yall with da hot One,n
 yes so glad cuz Im like how tf am I gonna find this rad Sierra chick I was drunk af with ,y
I let basically a stranger walk me home last night I was so drunk I am stupid af ,y
I wish I was drunk but no nigga I am not,n
I am noy as drunk as i was Ns twt i fell extewmely dizzyYouths dribk reponaobly,y
am I on the bed it thought I was on the couch this entire time drunk carly,y
i just received all my voicemails and i had one from Jack when he was drunk and i am still laughing,n
pretty sure I was still drunk when I went to my 8 am class this morning college,y
 hahah the hoody incident was a joint thing i am not getting the blame for that ok hahaha and youre always emotional when drunk ,n
My ex texted me at 0200 last nightasking me am i okayi drunk texted her fridaybut that was days ago,n
ohhhh four was the album name bc they had quadruplets and now theyre telling them that the were made drunk in the am fam I cracked it,n
I wish I was drunk all the time Im just a better person when I amFabi ,y
hangover means I was drunk ytd not today when I am at work u dunno me I can drink till 3am  get up at 5an amp be at work at 7am DBZ,y
Woman came into work drunk n started telling me am a great lassie n how she wished I was hers all cos a showed her where the soda water  was,n
 I was just scrolling down amp saw this tweet amp was like am I drunk or did I tweet this but then I noticed we just have same pic,y
i AM SO SORRY if you think using i was drunk as an excuse for fucking up is an okay thing to do it must be hard to be so stupid ,y
i dont think i have ever offended anyone here if i have then i am sorry i was probably drunk,y
  230 AM drunk in NYC and I needed something to eat and you know who was there for me when others werent Taco Bell,y
I wish I was as out going and funny as I am when Im drunk,y
  considering I was drunk at 7pm on a Tuesday I dont think I am  haaaaaalppppppppp,y
I accidentally scheduled my trip to NYC for the same day  leaves Was hoping to share some drunk shawarma at 3 am but I guess not,n
I was in class for 7 minutes I am drunk Its very obvious bela,y
Lol I was a little drunk when this all happened and I am giving little bit update I dont even know what is happening all I know is infinity,y
  am drunk and I told Erin I was confused,y
i was like how am i high right now am i drunk am i smoking a cigarette no so how is this breaking edge,y
ugh why am I so sad  I just want my baby to be happy from what I saw he was insecure and worn out not hahah so funny high and drunk omg,n
I am drunk and lost and sad and surrounded by freshers I wish this was London,y
WAS I DRUNK THE ENTIRE TIME WHAT THE HELL DID I EVEN TWEET OH LORD HARRY I AM A GOOD GIRL I SWEAR,y
its 1 am and i just remembered i kissed a dude i didnt know on the cheek when i was drunk,y
Six  i was so wild today i am going to be so drunk with kron from BEER,y
I was so drunk I was talking to a duck at 3 am ,y
When people remind me how drunk I was on my 20th birthday and I am like I wasnt that bad  and they start to laugh,y
Last night I met my future doctor at a Fetty Wap concert he was clearly drunk and I clearly am in good hands ,n
 He yelped louder as he replied tightening his grip II am Master Dante Im aall yours He was completely drunk at,n
She said they having a good time but her drunk friend is knocking back shots wthe date And he is just chatting her up,n
OK new plan Gonna get super drunk and then pay one of you to rip out all of my wisdom teeth Everything must go,y
   drunk voice fight me,n
How do some of you drink at least 3 days of the week and still get drunk after 3 beers,y
Drunk me put a small extension cord in the freezer last nightSober me is in the process of thawing it out,y
All I want to do is go to Epcot get drunk and hit on a DisneyPrincess Is that a lot to ask,n
babbyyyyyyy is u drunk is you had enough ,n
 r u drunk m8,n
Can we get drunk togheter please  LayItAllOnMe ,n
Pasta salad drunk,n
Drunk Munchies ,n
He holds me in his big arms drunk and I am seeing stars This is all I think of,n
Lol P say i was drunk and let this thot spend the night but slept in my bed and not the let out I dont remember i waz really drunk lmao,y
Lankford said his dad didnt like Compton there because he was often drunk arguing with Jones,n
09154812939  call me ngayon lang totalk to me while im drunk ,y
Day of AtonementCan we forget about the things I said when I was drunkI didnt mean to call you that,n
 no I just heard that you are way to happy when you are drunk,n
No clue where to have my Wednesday drunk brunch lunch at Cuz you know food snob and all,n
 Drunk I have to admit I really prefer the look of the first By a lot but 100a lot I dunno ,n
 You crazies have fun Dont get too drunk p,n
Drunk driving is just stupid nothing good can come out of it,n
 ITS BECAUSE OF YOU AND THIS GODDAMNED VIDEO THAT I EVEN KNOW THIS SONG EXISTS GO HOME BACKUP HUSBAND KEHA IS DRUNK,n
barbara correction I been drunk since yesterday,y
Uber has always seemed like the bestworst idea to me You wont be driving drunk But youll be in a strangers car out of your right mind,n
Woke up drunk but I woke up in vegas so Im good anniversary what to do what to do,y
Im always trying to go off on somebody when Im drunk,y
She was ready to go bc the girl drove Not sure why she let the drunk drive them there but anyway Drunk girl told her she wasnt ready,n
wags was I drunk when I tweeted this,y
Some girl came up to me during school amp says Do you remember me At Rosies at 4am you said I was your best friend I get drunk too much,n
 Even drunk the boy was driven And boy was he catching up Fast,n
How is it possible that i am still drunk at 4pm the next day ,y
Im getting drunk for the ride tomorrow Lake Tahoe be buggin,y
Finding Lexs black out drunk voice mails she left me when we lost each other at the barn just made my entire day  ,n
Im definitely getting drunk to Diamonds Dancing this weekend,n
Its 9 am but who wants to get drunk ,y
Farhan and I talk bre shit when were drunk,y
if i took a shot for every selfie stick within 50 feet of me i would be very drunk in times square right now,y
 Drunk Exactly,n
Andy   I already issued a disclaimer on week two that I was drunk when I made that prediction Drunk on optimism,y
bathroom mirrors let u know how drunk u are if yr asleep etc  magic place,n
 thats what I did  I drunk it for like a hour before I went to take it ,y
Never get drunk again  I got a bad hangover amp I gotta work,y
Tonight Im getting so drunk idc ,y
 are you drunkSarahOnABender,n
When I know Im Finnah go out  I put a otterbox on my phone ion even play cause I know Im down to be drunk amp damn near crack my shit,y
Can we get drunk together Please  LayItAllOnMe ,y
Ahhh Im too drunk to see Pink Elekk Reference to Dumbo movie XD ,y
Tip 7 Get so drunk you have to be walked home by your SU then TRY AND PUNCH THEM FOR HELPING,n
Honesyly  is my favorite Did yall see her on drunk history last night Got that shit on loop YAAAAAAAS,n
i told him im curious of how it feels like to be drunk andi got scolded hahahaha i was kidding btw  ,n
Damn I Was Truly Drunk Out Of My Mind,y
 you must have been drunk last night and didnt know,n
I GOT A 77 ON MY MATH EXAM SWEET JESUS SOMEONE IS GETTING DRUNK TONIGHT ,y
Ima be looking bout drunk af at work today ,n
Im still drunk scareapatientin3words,y
sum Someone acted out in the parking lot and officer Dedeaux realized he did it cause he was drunk so they searched the bus,n
 Ive heard Ive only bumped Maria Im Drunk so far though,y
 yeah i signed up for a laugh  did the frisat drunk shift made some decent cash  i liked it a lot actually,y
 get drunk for me,n
go delete yourself systemd youre drunk,n
Thug verse on Maria Im Drunk really top 5 of this year,n
youre drunk when you start speaking German,n
the only notifications Im getting from Facebook are friend requests bc clearly my drunk self wants to be friends w everyone I meet,y
I am ugly drunk but I am uglier soberUghhh i love you louise meets  good effin poet ,y
I found Luhan I think hes drunk or smth Ill take this as krishan cause Im so desperate ,n
Yo ahh drunk,n
Shit its really hard to keep yourself in control when you wanna have sex so much and your ex is drunk and wanna come by Damn,n
 u drunk asl what team u think are good,n
 drunk and started dying i inhaled it like it was a blunt,y
   yoongi youre drunk I dont want to fiGHT ME YOU OVERGROWN LUMP OF MUSCLE swing and a miss,n
 I need u to make a run with me at 6,n
Talks shit about my dog getting drunk because my party got out of control But you get your cat high everyday lol,n
I understand why people do drugs or get drunk after a break up Who wants to feel their heart breaking merightnow,n
  Drunk vinod Mehtas spirit Rted it ,n
Running back drunk to the house from the beach was a bad idea we all ate shit at the same time,y
No one forced that goat to get as drunk as it got Thats on him  Chanel,n
Drunk on watermelon MinaBot,n
Opening a beer bottle with your teeth Cool party trick or trashy,n
im that drunk girl that goes around telling everyone theyre beautiful smh,y
Im blowed an drunk at work ,y
 Be drunk and have fun Numb yourself to reality and making a difference,n
Dosani     consider me honoured  lets all get drunk and eat burgers,y
 Ok which is it he was a druggie or drunk get your story straight Joanna,n
 you are normally the smelly drunk arent you ,n
what is drunk history about,n
She betts leave me alone cuz im Rey slap her tracks loose Lor drunk bitch ,n
Fall go home youre drunk Its still hot as fuck outside,n
 no problem Much appreciated I watched your intro drunk video so far haha,n
So my coworker ends up calling an uber at 9pm and going home alone He date stayed with the drunk friend ,n
np Travi Scott x Young Thug x Justin Bieber  Maria Im Drunk,n
Drunk wish to be an isla lipana associate,n
Daily goals1 Go to Work2 Piss of the boss3 Get drunk4 Repeat,y
Getting drunk  cleaning my room ,y
 shut up Im fucking drunk because m o k a bought me drinks and godddd I hate you,y
Man in court charged with drunk driving Judge wha yuh was drinking soMan white oakcourt erupts into laughter,n
If I took a shot for every time someone told me I was too tiny for my job Id be drunk at work every day,y
 food  callum just reminded me of the time i ate a pizza off the floor drunk and now Im deceased,y
Gonna be drunk at that marlins game today forsurs,y
When youre not yet at the hangover stage because youre really still drunk fuck,y
But people might mistake it for 10 while drunk,n
 haha does that mean both,n
Is luhan drunk lol ,n
what is gtammar lol eunji are you drunk,n
Im getting so drunk tonight,y
my stomach burns the room is spinning may still be drunk,y
  YESTERDAY sorry Im drunk,y
Ill be drunk texting you,n
So tired I feel drunk,n
When we came out all eyes were on us We didnt care We were intoxicated We were drunk off fulfilled lust,n
The only way to cure a hangover is to get drunk,n
 YOU MUST HAVE BEEN DRUNK AND DIDNT REMEMBER,n
Keep on drinkin till you make me drunk ,n
 right there with ya Like during the FB chat yesterday One of the 1st questions was r u drunk Like what ,n
Drunk Bitch be Trippin,n
 Cedd lol yeah yall drunk obviously,n
meyer I can attest I was there when  was really drunk cause I was really drunk 2,y
reaad  yall were drunk as shit,n
The only people up at 3 am are in love lonely drunk or all three,n
I was way too drunk last night my snap story is not okay ,y
 You dont even stream anymore and youre drunk fgt LOL,n
i just drunk all my sprite ,n
Never again will I get drunk during the week ,y
talkin bout you pregnant you can get off my line so you must be drunk shorty,n
Luhan is drunk ,n
Being drunk by noon would be kinda lit,n
Is it socially acceptable to go get drunk right now,n
  i want streamed footage of Ross getting drunk and saying things with the accent,n
 theyre drunk talking naaa haha ,n
preview drunk ,n
Osama Bin Laden is dead Excellent excuse to get drunk,n
  truthhhhh  so drunk or nah cause only drunks kids amp angry tell the truth,n
Job gave out free monster energy drinks I dont even drink energy drinks I drunk this 1 and I feel so Crunk Lil Jon would be so proud,n
kinda wanna get drunk,n
 May sure you pay BEFORE you get drunkyou dont want to wake up and realize you overpaid,n
Bought myself a pack of straws to keep at school bc I hate when drunk touches my teeth,n
Im drunk,y
Studied my ass off for my mind to go blank on the exam Fuck me right Ima get drunk now,y
I think drunk baebae is my favorite thing to watch on snapchat ,n
The poets are getting drunkAnd the homeless are writing poetry,n
 I love this idea but what is going to stop a drunk fan from going in there and passing out jerking it going to the bathroom,n
 im just going to go get drunk play videogames and forget about all this shite,y
Get drunk tomorrow and fine you a boo in the party guys It just hit fall catch this cuffin bus ,n
 YOU MUST HAVE BEEN DRINKING AND DINT REMEMBER EVEN PURCHASING SAID DRINKS AND THEN GOT DRUNK ABD ERASED YOUR MEMORY,n
Elementary School he told me to Middle School it was a dare High School I was drunk,n
04 there was more in the bag behind it Besides Ive drunk them now and now in the pub,n
 I wanna come and get drunk fml,n
 GO TO BED PROVIDENCE YOURE DRUNK LOL,n
 Seriously is she drunk Off her rocker Or just a hateful bigot,n
I come home after catching up with friends I may be drunkMum I can tellMe howMum because you smell like itIve learnt noting,n
 were u drunk last night with olly,n
Drunk,n
lol Luhan are u drunk ,n
Never experienced anything so painful as being drunk and my contacts ripping in my eye yummy,y
Well I was excited to watch AndyampAmanda talk about Big Brother while drunk until you guys started bashing Dan I hate both of you now ,y
When ur drunk but not drunk enough to deal with your side hoes lol,n
 v drunk and loving in Bowery last night   edwards28 ,n
  to drunk again  ,n
  theres definitely alot of that If i ever meet you in real life Im going to get you drunk and get all the info from u,n
Call ur friends and lets get drunk,n
If you get drunk and dont regret anything the next day then something is wrong with the way you drink,n
I am fed up and heartbroken by how many girls I speak to who tell me their boyfriend got them drunk to have sex with them,n
Lol I look soo drunk but we both look so thug ,y
 amp Willman are joining us on  talking about the viral success of their Drunk History 12ET ,n
 heeey Getting drunk is fun af You havent done it yet,n
Theres a car on campus thats crashed to prevent drunk driving and Alisons car is honestly in worse condition,n
22 when youre drunk in the backseat and a cop pulls you over,n
I used Bing and I feel like I cheated on Google Like I got drunk kissed my girls coworker and then said I gotta get the fk outta here,n
i love drunk girls in bathrooms theyre so nice they tell u how pretty u are and become ur bff for two minutes that ur in the bathroom,n
drunk norah likes cooking and Melanie Martinez ,n
Popcorn tattooists barbers lollies and many drunk studentsIt can only be Sketchy Im on in 30mins itll be nice to play this stage solo,n
 but that baby is still being ripped apart You didnt give that one a chance What about incest What about a drunk night,n
Celebrating my birthday next month with Keyon in LA I prolly just get drunk this weekend and play 2k16,y
Ive just been asked what Im being for Halloween and my exact response was drunk,y
I want you na na Drunk in looooove,n
Go home  youre drunk,n
Theres one thing I cant stand when Im really drunkUp,n
I am so in love with drunk niall ,y
Lmfao this girl came to class drunk  talking about lets skip class to get chili cheese fries ,n
Wasnt even a happy high last nightjust an emotionalsad high If that was the case I wouldve just gotten drunk ,n
I cant wait to let lose and get drunk With my fellow Alumni I miss Florida,y
Apparently I was that drunk on Saturday that I had to remind myself hahahahqhq ,y
 LoBeatdown The last time I sat under a bush cake smeared all over me smiling like that I was drunk as a skunk,y
leetaylor the more I look at this picture the more drunk I think I look ,n
We was drunk by this time ,y
Ill be drunk before 12,n
Youre out half the night youre drunk amp you got a tattoo what did you join the navy too  LMAOOOOLL,n
Im so drunk but fuck me we are brilliant today  AsOne SCOvJAP backingblue,y
Maria Im drunk is so trashy I want it off the internet almost as much as those pictures of Justin looking for girls with a flashlight,y
Hes drunk today  ,n
 radio Trailer Park Boys is the best drunk andor high show,n
Babyyyy is you drunk is had enooughh are you here looking for lovee OUHH                 baby daddy Breezy,n
Going to work drunk,y
This weekend go bowling get drunk clean up amp nail salon goals,y
Wholia yo I was drunk off my ass in McDonalds and some guy came in on some and apparently they make adult sizes,y
Lets get drunk while were young,n
gambillturn in your badge Youre drunk ,n
Twitter Your tweet to  did not sendMe But she already replied to that exact tweet Go home Twitter youre drunk,n
 thanks  Get extra drunk tonight you deserve it,n
22 But then youre on the treadmill like I shouldnt be on the treadmill when Im drunk I could get pulled over profquotes,n
Almost adult  lets go for a drinkOr twoGot you drunk while Im drunk in you ,n
 BLUNTMAN you guys were in Florida drunk af Same night you guys called me,n
 gone have ur ass so drunk,n
Typical  drunk at 2 in the afternoon ,n
Baby is you drunk cause you had enoughAre you here lookin for love,n
You know you were drunk the night before when you wake up in socks,n
ok i havent been that drunkthis hungover since my 21st birthday,n
Drunk On Starbucks But Not Loving It At McDonalds  Forbes,n
Jazzyy a drunk aint shit ,n
 gila in a good way ily drunk guy,n
   You dont even need to get him drunk Just ask him It works for the people in twitch chat,n
I must admit the best part of getting drunk here is watching guys trying to dance ,n
cal looked a little drunk last night uhwbjke,n
   No 6 was meand in my own defense I was really drunk that morning Like really drunk,y
TGM went to young life drunk IDK who u r but please worry about ur self and if ur going to make stuff up make it make sense  pathetic,n
Countdown to Puck Drop is presented by the NH Highway Safety Agency Remember Buzzed Driving IS Drunk Driving,n
 and the drunk fun friend at that,n
America well you need an acquisition and a carrying license  automatic weapons are banned in Switzerland,n
I would rather have an MIA deadbeat father than the drunk deadbeat and abusive one I have any day,n
14 amp dont get too drunk tho ma girl the hangovers arent very good My god im old or theyre too young  ,n
OMG my professor said he had a dream he was drunk w his friends amp he thinks it made him wake up hungover,n
I aint been tht drunk since bliss with Gutta and Heavy couldnt drive home then and could drive home last night ,n
When your mom drunk calls you at midnight ltltltltlt,n
I called this nigga ARGERA on some drunk shit last night lol,n
Well I got drunk last night,y
Fighting back puking in the mall today  initiate step 2 of drunk ,y
Go home Google youre drunk ,n
America America should at least do that,n
dayIm clearly drunk,y
lmfaooooo i said war of drugs i b drunk,n
 go home ur drunk,n
Do you ever think about all of the really nice drunk girls youve met in the bathrooms and wonder how they are doing I miss you all ,n
First day of fall i cant wait to go on hayrides with my best friends and carve pumpkins and get drunk off my ass ,y
call your friends lets get drunk,n
I shouldnt be allowed to have a phone when Im drunk ffs I hate me,y
Are you fuckin drunk,n
 u aint da only one moebut me its cuz i b drunk n trappin dat i just dont sleep,y
This utility pole struck last PM by alleged drunk driver in Pelham Forced schools to close today NH1News ,n
Is Luhan really drunk ,n
Im working off of 1hr of sleep and im in class still half drunk and lit than bitch,n
i can get a little drunk i get into all the donts but on good days i am charming as fuck,n
Still wondering whether kishi was drunk or not when he made ss canon  ,n
 Im talking more about the drinking situation I guess if getting drunk every weekend is cool then youre hot shit,n
i think nobody except jaime will entertain me when im drunk ,y
Is it possible to still be drunk at 4pm,n
This utility pole struck last PM by alleged drunk driver in Pelham Forced schools to close today   via Tyler,n
 Lmao we keep fucking up this drunk snacking thing in new and creative ways,n
Drunk Out,n
 hi my love Its when you get drunk at a party amp sneak out without saying bye to avoid awkwardness and because u miss your bed,n
Angry Seahawk fan drives drunk assaults deputy,n
Todays the first day of fall as in falling down drunk cause its club season again ,y
DRUNK ON LOVE MTVStars Rihanna  Nicki Minaj  Lady Gaga  One Direction ,n
I want u to drunk text me I want u to think about me Please fucking think about me sometimes because the only thing I do is think about u,n
 yes remember we was drunk ,y
Why did I only take a bunch of photos on the day I was drunk af at shambhala,y
 drunk already Save me some,n
If you look like a drunk when you walk in heels you should not walk in heels,n
Did you hear the one about me being a drunk,n
holy shit I am drunk how am I gonna drive back,y
When your sleepy You might as well be drunk,n
Im mad drunk,y
 Because theyre drunk clearly,n
I might have drunk too much tea amwriting,n
EidKayDin b ugly he dikhon ga,n
happy birthday blondie hope youve had a fabulous day dont get too drunk  chandler,n
 hopefully he will allow me to get him drunk seeing as we wont even be in London,n
  ive stayed at white buff Mostly i just stay with relatives This is why im drunk in albia 90 of the time,n
Love how everyone uses freshers week to get drunk Im just sleeping and eating way too much TheStudentLife,n
whitneybrent  was this the same night you were drunk and broke your shoes ,n
apparently when Im drunk my snoring echoes and Aaron has to sleep on the couch ,n
Drunk in love,n
call ur friends and lets get drunk,n
   it is Hey at least your coach is not a drunk,n
BEEN DRUNK SINCE 10 AM I REALLY LIVE THIS,n
  Obiano is a drunk that Obi brought to government house to cover his deeds in banking sector and his deeds in Anambra state,n
I dont understand why drunk me always seems to have more money than sober me,n
 lets face it  anyone can debunk that argument that a drunk woman consented to rape which is a crime in itself,n
windows youre drunk ,n
 I hear you But you be catching me at my drunk times,y
Ive drunk so many lemon and ginger tea today and its not helping ,n
   Garroth Out Of Everyone That Could Have Come The Drunk Idiot Comes  Leaves ,n
I can make myself drunk off my brain,n
We should just get drunk  and fuck ,n
Ok I love my sister drunk But she getting way to drunk honest  Enough girl ,n
me flirting lets get drunk and talk about the federal government,n
Ines is an asshole when shes drunk ,n
I went to my old boyfriend we got drunk with his girlfriend,y
Drunk drive wit my niggas,y
  Of course We dont offer nonscented bleach If I drunk bleach Id definitely want the smell of flowers,n
 suppose on the plus side a can get drunk with ma parents,n
 n the 80s but ge played in Spain and he was a drunk he is very poor nowspent all his money drinking sad story,n
Maria Im drunk,y
I want to be drunk for Halloween,n
call your friends lets get drunk,n
Ha its always my fault that everyone gets too drunk,n
 wasnt even drunk really Just got cracked round the head,n
Writing is easier drunk but you NEED to revise it sober,n
Sometimes I forget I have a metalcore version of drunk in love on my phone and now I am laughing,n
 Happy blackout drunk day,n
Get drunk and whine about it with  goals,n
 the pope sounds like a drunk pedophile,n
Normal day lazy EidKayDin  super lazy,n
 haha Its the French verse from ELO Hold on Tight but Bing translate is drunk again Probably best I stick to English  xx,n
Drunk me isnt doing me any favors hiding my keys when Im late for work the morning after,y
Ive handled violent and drunk guests but I cant decide whETHER I SHOULD APPROACH THIS COSPLAYER ,n
Im still getting drunk as fuck at shannon and the clams because just because no questions Its done,y
the way I slowed Down drinking I just dont be wanting to get that drunk,y
 sooo lightly defended,n
this week has been a disaster for me so I cant wait to get drunk on Saturday ,y
 maybe hes drunk,n
I am just the worst drunk person ever,y
customer were too busy killing all the muslims,n
BeerAisle  literally it was just a drunk tweet gone too far,n
drunk but not in love ,y
 Sure thing my friend Need help getting to your room I dont want you crashing with how drunk you are haha,n
Am I a creep I jus drunk a beer on lunch so,n
 I hope so considering Ive only drunk tea today,n
high off her love drunk from her hateits like Im huffing paint and i love her the more i suffer i suffocate,n
EidKayDin sary cousin mil kr raita phelaty hain,n
 SLOPPY HANDJOBS AND DRUNK KISSES HELL YEH HELL YEH,n
Achievement is when youve not even got close to liquor in ages and you get to hear Youre drunk or what from like ten people 3,n
customer shes also being seriously sold to me in a 60 game about ESPIONAGE tooThe similarities between her and Quiet are uncanny,n
 I love the idea of an entire name change for your drunk self,n
The only way it is okay to go into an establishment ten minutes before closing is if youre obviously drunk and dont really know the time,n
 Just dont feed them they will die on their own,n
 Angela be super drunk this weekend,n
 wow I never drunk tweet mustve reached a new level,y
 Haha  Please add I drunk it   Beer,n
taking this test still drunk as usual,y
I wanna play Minecraft and get drunk,n
Please help my friend Olivia Winn She is an old drunk  Donations accepted  ,n
you looked drunk but very handsome a blurb for the back of my book from ,n
Errrr Only three types of people tell the truth kids drunk people and anyone who is pissed the hell off,n
Drunk innnn looooooooooove,n
 hahahaha clearly uv never met dawn shes gonny be throwin vodka at me she thinks am funny drunk she encourages it,n
 listen to you seems like your life is turning you into a drunk ,n
did bomi drunk,n
Instead of getting me drunk for my going away can everyone please just buy me condoms,n
Last year on my birthday I was drunk and single this year Ill be spending my birthday doing something amazing w the love of my life ,y
Missouri mum writes an open letter 1 year after drunkdriver killed husband and son Destiny Mantia from Lincoln County Missouri w,n
  I will even get us a hotel and u and kieren can go back and get drunk in it if u dont get in  I do it 4u,n
Our hearts were drunk with a beauty Our eyes could never see LegendaryWoman,n
Bleak House features Miss Flite who reveals her aristocratic desires by referring to having once drunk chocolate lsls15,n
It was 45 this morning with a high of 75 for the afternoon Go homeeeeee weather ur drunk ,n
He holds me in his big arms drunk and I am seeing stars this is all I think of,n
Cucumber sisters What does it mean It means weve drunk too much punch probably,n
Drunk  sounds like a great roommate,n
Cant wait for it to be acceptable to be drunk all the time,n
Sometimes I think my teacher is drunk because shes so crazy durning class,n
Drunk nights with good friends are what I live for,y
 drunk cause yuhh,n
Im to drunk for this shit ,n
Were seeing all over the world that there is a decline in drunk driving because of   David Plouffe CDNpoli,n
Blob Same here lol lets just go get drunk and get epic tramp stamps by epic I mean butterflies or some weird tribal thing,n
 yea I need to get really drunk and make you take me to breakfast so I can yell about dry toast at 5am,n
When bhangampbusaa was smoked and drunk openely in Cords rallyWhat an image of Cord principals was at play,n
